strategy,metric,mean,low,high,n
replay,stability_auc,0.9783461992568357,0.9742625577990606,0.9824298407146109,12
replay,ps_auc,0.42205725898161756,0.38176884077385637,0.46234567718937875,12
si,auc,0.8679628938447626,0.8562702217300733,0.8796555659594518,12
si,f1,0.68722376548729,0.6664618053576009,0.7079857256169791,12
si,final_bwt_auc,-0.012853716444600982,-0.020485543788724372,-0.00522188910047759,12
si,mean_stage_bwt_auc,-0.013112462499102825,-0.01753155770596373,-0.008693367292241919,12
si,plasticity_auc,0.20191199461624953,0.15626853118025447,0.2475554580522446,12
si,stability_auc,0.9784242316275381,0.9713373227351072,0.985511140519969,12
si,ps_auc,0.32902102613665435,0.26409207683122327,0.39394997544208543,12
zebra,auc,0.8538508798006376,0.8384142603335529,0.8692874992677222,12
zebra,f1,0.6809803571078544,0.6459152136375815,0.7160455005781273,12
zebra,final_bwt_auc,-0.03129189751104481,-0.04259275930088249,-0.019991035721207126,12
zebra,mean_stage_bwt_auc,-0.024897151470415338,-0.02862631324847095,-0.021167989692359727,12
zebra,plasticity_auc,0.35468465630631885,0.3061691646857528,0.4032001479268849,12
zebra,stability_auc,0.9588514746865519,0.9487919023399537,0.96891104703315,12
zebra,ps_auc,0.5137003747028167,0.46153612057676113,0.5658646288288723,12
zebra-r1,auc,0.8593087211507403,0.8450449243319287,0.8735725179695519,12
zebra-r1,f1,0.6920017374942472,0.6621943001122007,0.7218091748762937,12
zebra-r1,final_bwt_auc,-0.028423646379727076,-0.03949202536518483,-0.017355267394269326,12
zebra-r1,mean_stage_bwt_auc,-0.02795568977927662,-0.03217265104862808,-0.02373872850992517,12
zebra-r1,plasticity_auc,0.36391245241296827,0.30093937316604896,0.4268855316598876,12
zebra-r1,stability_auc,0.9623051392038087,0.9521678942348629,0.9724423841727544,12
zebra-r1,ps_auc,0.5211210897985646,0.45555839297434925,0.5866837866227801,12
zebra-r2,auc,0.8588082782577185,0.8458574820990278,0.8717590744164093,12
zebra-r2,f1,0.6864636841694258,0.6585610319180956,0.7143663364207561,12
zebra-r2,final_bwt_auc,-0.027240172510229397,-0.036730151490372495,-0.017750193530086302,12
zebra-r2,mean_stage_bwt_auc,-0.025423351220567814,-0.03141391122281881,-0.01943279121831682,12
zebra-r2,plasticity_auc,0.33886096294280715,0.2829529586273512,0.3947689672582631,12
zebra-r2,stability_auc,0.9635805552743716,0.9546247551800495,0.9725363553686937,12
zebra-r2,ps_auc,0.4955609005108829,0.43495548575493653,0.5561663152668292,12
zebra-r3,auc,0.8591046238425455,0.8457858052814082,0.8724234424036827,12
zebra-r3,f1,0.6913111970156341,0.6647776815074515,0.7178447125238168,12
zebra-r3,final_bwt_auc,-0.028159430121131503,-0.03713403129252452,-0.019184828949738483,12
zebra-r3,mean_stage_bwt_auc,-0.031131368366978687,-0.03608090874886924,-0.026181827985088137,12
zebra-r3,plasticity_auc,0.361274601698843,0.3033830765330046,0.4191661268646814,12
zebra-r3,stability_auc,0.9627480678002992,0.9554791180944995,0.9700170175060989,12
zebra-r3,ps_auc,0.5196272104096182,0.45914079020384646,0.58011363061539,12
zebra-replay,auc,0.875150941195988,0.8640338477910339,0.8862680346009422,12
zebra-replay,f1,0.7440145058688868,0.7313750228206882,0.7566539889170855,12
zebra-replay,final_bwt_auc,-0.010961498165099304,-0.01774210353870591,-0.004180892791492701,12
zebra-replay,mean_stage_bwt_auc,-0.005751228382894808,-0.010452730197301384,-0.0010497265684882321,12
zebra-replay,plasticity_auc,0.2658129472324959,0.23779082024557557,0.2938350742194162,12
zebra-replay,stability_auc,0.977754501530599,0.9732625213608521,0.9822464817003458,12
zebra-replay,ps_auc,0.41618759465812943,0.3813569436231466,0.4510182456931123,12
zebra-shuffled,auc,0.8557421340914756,0.8384031013315535,0.8730811668513977,12
zebra-shuffled,f1,0.6909031058865752,0.6641014228025114,0.717704788970639,12
zebra-shuffled,final_bwt_auc,-0.028757766838160597,-0.042917657073042605,-0.014597876603278591,12
zebra-shuffled,mean_stage_bwt_auc,-0.028714477046825768,-0.03304107960373726,-0.024387874489914273,12
zebra-shuffled,plasticity_auc,0.371607991911385,0.32402345910408364,0.41919252471868634,12
zebra-shuffled,stability_auc,0.9619708316333062,0.9488822969818173,0.9750593662847952,12
zebra-shuffled,ps_auc,0.5321707309517058,0.48254600050158386,0.5817954614018277,12
